"c[trans]" "c[com]" "c[circ]" "c[rep+]" "c[rep-]" "c[pack]" "com[max]" "rep[max]" "c[3A]" "c[stay]" "scaler" "var c[trans]" " var c[com]" "var c[circ]" "var c[rep+]" "var c[rep-]" "var c[pack]" "var com[max]" "var rep[max]" "var c[3A]" "var c[stay]" "var scaler" "ly gamma shape" "lag" "ly gamma rate" "lag var"
-5.280296 -2.480635 -6.585797 -9.143283 1.509491 -5.477632 6.488682 8.388732 9.743686 0.4414177 0.0002844771 0.7054132 0.9367351 0.4414678 0.2192902 0.5329118 0.9953961 0.9704984 0.6569501 0.5939923 0.5010785 0.9067764 35.68474 7.684031 2.206761 3.756507
-5.539968 -0.6657947 -5.398164 -9.697632 0.7936775 -4.050787 7.606467 12.06244 4.802278 0.4398359 0.0002052391 0.5108164 0.4545268 0.1811386 0.3077398 0.6233412 0.996218 0.5822753 0.2252645 0.8962738 0.6408627 0.981666 33.9256 8.104141 2.16889 5.335103
-5.257934 -2.724323 -6.248866 -8.313035 0.9140991 -8.047646 8.526876 17.12132 5.287661 0.5727089 0.0003689549 0.3694935 0.5299882 0.4984296 0.6370551 0.2196677 0.6073284 0.05073531 0.2782116 0.1219684 0.8180052 0.8186156 38.42917 7.022294 2.271226 6.947233
-5.637974 -0.06843159 -6.22163 -8.094716 0.5734145 -3.747093 5.640791 10.19142 4.311786 0.3426292 1.260991e-05 0.2837813 0.6897793 0.147573 0.7007436 0.2241657 0.7699674 0.008983085 0.7429424 0.4271362 0.4296052 0.7616624 36.50058 7.01258 2.046331 7.13072
-5.074168 -2.609078 -5.969616 -9.636223 1.682208 -6.399036 7.138746 15.40753 5.867058 0.5469363 8.521192e-05 0.5036459 0.1157294 0.04618702 0.7811962 0.3907185 0.3556518 0.656488 0.7003804 0.5810235 0.8933513 0.6739727 44.61166 4.659883 2.450268 1.534556
-4.898112 -3.533844 -5.242724 -8.760438 0.7543719 -7.832357 7.532642 17.18705 2.358941 0.2460001 0.0007151309 0.4621719 0.9069787 0.8513694 0.1855789 0.7207085 0.9359809 0.7015685 0.1698682 0.8482784 0.1239502 0.7167367 34.9715 8.562744 2.365454 2.068896
-4.784884 -1.882719 -6.453907 -7.856039 0.3875777 -2.400052 8.216274 15.74446 9.959725 0.5571866 0.000816454 0.3742687 0.5815818 0.9210734 0.3077094 0.7730715 0.9273762 0.4258839 0.5303444 0.2643041 0.623956 0.8839707 43.47135 7.940518 2.628509 4.152981
-5.206753 -2.429045 -5.318837 -8.137567 1.514349 -6.556288 4.935537 10.2497 6.259413 0.8026667 0.0004350437 0.5183026 0.9973802 0.2882215 0.8090722 0.5489104 0.2899752 0.1085191 0.3554132 0.0510516 0.3303446 0.9848137 33.89294 8.891491 2.0457 6.319882
-5.571419 -1.967337 -5.640902 -9.019357 1.992797 -8.235115 5.659797 4.128842 7.919775 0.6154803 0.0005159604 0.720836 0.8121401 0.1787267 0.1117219 0.7765973 0.5684683 0.06437455 0.4567048 0.8375852 0.6799969 0.938444 38.57246 7.342895 2.404714 2.987071
-5.613683 -2.446537 -6.541861 -9.899856 0.8714907 -7.150164 9.05998 12.53549 3.17535 0.6197856 0.0003791429 0.8630241 0.07485174 0.5719429 0.3968481 0.7825528 0.3772115 0.1628867 0.09119103 0.5171003 0.419901 0.9242733 31.45329 9.74841 2.113659 2.700015
-5.080811 -3.392089 -5.470449 -9.970358 0.7214561 -5.419246 4.276445 12.27685 8.642334 0.394233 0.0005374123 0.6241568 0.8925874 0.4115097 0.1469495 0.8295869 0.8918009 0.4116338 0.3778582 0.5493933 0.8609591 0.960696 41.74732 5.208109 2.406645 4.027716
-4.990083 -0.1550344 -6.582708 -8.017405 1.31517 -7.392662 5.725064 8.630712 7.171165 0.4834308 0.0007135042 0.9819527 0.3749139 0.1469402 0.6558289 0.3858394 0.01401926 0.4900971 0.001383513 0.3159465 0.3461222 0.8588711 29.46515 8.734135 1.816722 3.493719
-4.828013 -1.501369 -5.719418 -7.010979 1.314737 -5.791945 9.420793 5.401986 5.65495 0.6046688 0.0008493599 0.6298969 0.579885 0.5898866 0.1204079 0.1391954 0.8195498 0.7106732 0.4030141 0.4513578 0.73829 0.7098674 35.85763 8.943111 2.000153 5.216935
-5.105512 -0.5752102 -6.273307 -7.952042 -0.2360572 -5.906754 6.802094 14.01831 6.829329 0.2303093 0.0001446825 0.979072 0.1145118 0.4275548 0.08860523 0.03627726 0.826339 0.1918694 0.547468 0.8926714 0.07139316 0.7290661 38.01452 3.770151 2.235246 6.647259
-5.043053 -1.330731 -6.389422 -9.224196 1.382738 -3.252153 9.574929 11.33195 6.542904 0.1388328 0.0004682641 0.7558681 0.47576 0.03272095 0.2736519 0.4006187 0.6034129 0.8664471 0.6780469 0.3681352 0.8163624 0.8237604 30.09355 8.972542 2.105645 2.674653
-5.375388 -0.8744748 -6.248619 -9.587384 0.7451227 -4.361675 7.648304 6.055366 6.399957 0.3861722 9.600743e-05 0.8771606 0.2150282 0.9115042 0.5136137 0.2705426 0.6963745 0.1609653 0.007448324 0.2453521 0.8664707 0.9271448 23.64165 8.0869 1.483499 4.882828
-5.861811 -0.7758779 -6.124371 -8.796793 0.9466257 -6.245723 8.754455 16.26065 4.963687 0.6061906 0.0002737654 0.6997804 0.5613534 0.3138777 0.2581695 0.7654403 0.5815162 0.0181654 0.4924161 0.2922806 0.3877603 0.9207433 35.46842 6.055519 2.340136 6.458672
-5.426327 -3.534447 -6.260212 -9.047925 1.108772 -7.239649 8.325242 9.44263 2.799374 0.2065545 0.0007362138 0.6611547 0.5251649 0.4493548 0.3208885 0.6374635 0.8233967 0.5736717 0.7501094 0.6999689 0.8723159 0.8216303 27.1673 8.466682 1.760908 5.724683
-5.071114 -1.214627 -6.537385 -8.237223 0.2062685 -3.962088 6.040553 8.47499 8.499792 0.1980583 0.0002818319 0.4075367 0.03932848 0.7327837 0.8420069 0.4764664 0.008891713 0.5994024 0.5955739 0.8671087 0.4054092 0.5347079 39.66127 2.080954 2.244337 6.46038
-5.25217 -3.552385 -5.164944 -8.46472 0.5687253 -7.068341 7.126782 17.11476 4.976098 0.4428073 0.0002451865 0.5277032 0.2919957 0.1577579 0.4809361 0.3417779 0.6243356 0.6298695 0.0004249208 0.9802713 0.1445746 0.8812592 36.72829 4.9813 2.105951 8.702605
-5.017876 -3.654872 -5.496282 -9.057646 -0.2190481 -3.698594 5.844064 10.53004 8.358174 0.5271677 0.0007924587 0.5493295 0.6230987 0.1189446 0.9602431 0.7766447 0.8519423 0.2472097 0.8012332 0.3607577 0.3877656 0.9788528 27.62106 9.623616 1.839934 4.341796
-5.05025 -4.464163 -5.602038 -9.025537 2.275022 -8.028882 7.670957 7.7721 1.810856 0.0763659 0.0003562801 0.01348183 0.7059468 0.6300355 0.3740455 0.3455272 0.6721037 0.5826749 0.8844697 0.0320844 0.8620506 0.9853279 38.24167 8.811818 2.49871 4.372944
-4.902679 -3.346796 -6.068209 -9.562925 1.822717 -2.52328 9.490454 10.41678 2.641518 0.4608752 0.0004413405 0.2111018 0.1648406 0.6513487 0.03500128 0.6396326 0.7323352 0.481987 0.8304687 0.06844041 0.1051386 0.9514 35.09607 8.62831 2.322302 4.493412
-5.470559 -0.6197537 -6.500419 -8.79948 1.241543 -4.567166 6.820133 12.79774 2.627845 0.1369999 0.0002728532 0.8473456 0.9450846 0.2476216 0.3432817 0.7650362 0.5693654 0.1441104 0.6817957 0.4635574 0.6383202 0.9184913 33.0662 9.513295 2.403385 2.70328
-5.606355 -1.591099 -6.135518 -9.128677 2.05917 -7.222363 9.615645 17.26503 8.422593 0.3977996 0.0009818181 0.5330791 0.4218929 0.4564642 0.6885632 0.945212 0.159152 0.4492187 0.777561 0.06019044 0.332997 0.8876932 35.08672 5.101618 2.018894 3.981253
-5.519043 -1.690674 -5.978691 -9.142423 1.616336 -9.879408 8.705506 5.728967 6.448581 0.9176747 0.001177094 0.4709735 0.2674656 0.3095857 0.01357841 0.8482019 0.637449 0.2382222 0.385741 0.9553203 0.07431949 0.8840483 32.61467 8.909996 1.983795 3.469259
-4.988484 -3.068805 -6.42069 -9.428315 1.362685 -4.108791 8.018826 8.560888 8.538834 0.6826423 0.0007926047 0.3903587 0.6408603 0.5524564 0.02634291 0.7444883 0.5673432 0.7315113 0.3401561 0.2998024 0.3066951 0.7304754 34.63902 9.329524 2.280147 3.106242
-5.112225 -0.766634 -5.640859 -7.887336 0.8391317 -5.354965 4.912531 15.07607 7.820712 0.248388 0.0001001347 0.6598718 0.0745746 0.7150995 0.1319543 0.2338927 0.8806149 0.231972 0.5777981 0.8470854 0.3047348 0.7606969 40.29562 5.94207 2.244868 5.18653
-5.146811 -3.132048 -5.567688 -8.448723 1.333498 -0.4450511 8.625951 13.3088 4.300491 0.08401231 0.0002426247 0.8485395 0.3656266 0.07343151 0.111917 0.7064755 0.3532337 0.8714394 0.7935839 0.7199982 0.7588391 0.9442325 42.7715 5.447986 2.334219 2.933972
-4.999757 -2.452159 -5.879337 -9.603957 0.1656285 -6.389316 6.1983 6.90054 5.327692 0.3577902 0.0008348016 0.7479209 0.9905092 0.493395 0.4252878 0.3437135 0.7937641 0.355296 0.743762 0.9993526 0.9805367 0.8566319 32.80005 6.348378 2.028108 2.291822
-5.193018 -3.613661 -5.778414 -8.998702 1.79749 -8.353555 7.083031 7.556269 5.773708 0.3299598 0.0004242875 0.2621957 0.6886602 0.5790402 0.480991 0.1121013 0.6996364 0.6728362 0.9261962 0.1029805 0.5301774 0.8512014 34.38412 5.799269 2.000718 4.422331
-5.417968 -1.670465 -6.012556 -9.455561 1.474541 -3.925784 9.793406 17.42 3.456407 0.6083868 0.0003245332 0.3776677 0.5699223 0.2833238 0.2247013 0.3978984 0.4811734 0.4697688 0.9387567 0.4508988 0.6765322 0.7465118 33.96248 8.55559 2.328207 2.596806
-5.253507 -1.437872 -6.201212 -8.896918 2.179235 -5.696624 7.117987 12.42794 6.533707 0.3254485 0.0005090008 0.8321368 0.3267028 0.08591578 0.6826481 0.7714524 0.8377157 0.7939155 0.817204 0.2525975 0.5938408 0.8569401 43.22993 5.860839 2.761364 4.541262
-5.095649 -1.534996 -5.045076 -8.098517 1.834028 -3.882112 7.789034 7.31205 6.762564 0.9236953 0.0005186045 0.6833056 0.277648 0.9692009 0.05195264 0.1762591 0.6475271 0.4094845 0.6225818 0.7793077 0.2235249 0.7835482 33.51929 7.420795 2.102013 3.875015
-5.201592 -2.489623 -5.625879 -9.983376 0.1926839 -4.44806 5.836358 7.697066 7.609127 0.4160447 0.0007219968 0.5396764 0.8954052 0.4239374 0.325215 0.65753 0.1289624 0.6674156 0.3685337 0.3883583 0.5506548 0.8033172 26.42175 4.457053 1.418405 4.064376
-5.440501 -1.320739 -6.15622 -9.235182 2.487541 -9.128703 8.932647 13.93136 5.380957 0.5740492 7.764933e-05 0.8535005 0.3469114 0.3249349 0.3173212 0.4639328 0.342296 0.3917464 0.3591102 0.1228882 0.3339091 0.9225146 34.40415 6.753629 2.055742 4.113688
-5.535549 -4.229567 -5.794554 -7.967035 1.764231 -9.33787 9.701516 9.884447 1.233928 0.3931512 0.001450707 0.7401097 0.7716244 0.2068175 0.2443596 0.6651259 0.2847754 0.7716444 0.05567915 0.8285724 0.4336025 0.9071336 34.35176 9.926104 2.196994 6.374794
-5.145162 -0.06844825 -6.497077 -9.459443 1.445327 -9.849253 7.191421 14.77453 4.129386 0.7691898 0.0006799045 0.574318 0.2479053 0.01300361 0.5417397 0.4464732 0.03904361 0.590096 0.3916994 0.331227 0.2602794 0.8454323 32.53313 7.685366 2.039529 2.40992
-5.457447 -3.913241 -5.180692 -9.75923 1.200949 -3.762645 7.136998 8.185576 7.886989 0.5652646 0.0007901213 0.9576277 0.8731426 0.5238644 0.5565525 0.2826339 0.0414185 0.7487227 0.8086625 0.5191849 0.8250709 0.6276426 39.50427 8.315691 2.467979 5.278676
