"c[trans]" "c[com]" "c[circ]" "c[rep+]" "c[rep-]" "c[pack]" "com[max]" "rep[max]" "c[3A]" "c[stay]" "scaler" "var c[trans]" " var c[com]" "var c[circ]" "var c[rep+]" "var c[rep-]" "var c[pack]" "var com[max]" "var rep[max]" "var c[3A]" "var c[stay]" "var scaler" "ly gamma shape" "lag" "ly gamma rate" "lag var"
4.617547 -8.703102 0.2922803 10.64518 10.04629 -7.491269 8.895225 4.284622 9.677108 0.8271207 5.348129e-06 0.7627265 0.936671 0.8212445 0.8081271 0.6904951 0.3050867 0.05659827 0.1225757 0.1935229 0.03436455 0.7472538 39.64091 4.360195 2.417223 0.9292415
3.859236 -1.068522 -3.29752 -4.904864 4.080269 -0.2862073 7.1142 6.470419 7.59663 0.5050945 8.015023e-05 0.977023 0.6058223 0.8017461 0.6291774 0.5908832 0.2864056 0.3266792 0.9687788 0.5577785 0.57751 0.4535824 43.43218 1.628904 2.684742 1.66831
1.610093 -3.366698 -7.567438 7.59519 13.48558 -3.348569 12.24334 4.41176 6.414119 0.3927359 3.780904e-05 0.7870735 0.3502458 0.7724384 0.6661831 0.5292014 0.09590608 0.3394727 0.1340598 0.9400844 0.1128122 0.7904412 38.36473 3.64411 2.182229 0.859444
5.742545 -2.350659 -6.065755 -4.885941 9.254591 -3.966326 14.73491 5.45445 5.679117 0.7811114 8.360383e-05 0.7338886 0.3331002 0.6509568 0.4002025 0.6211978 0.09274856 0.4323284 0.7126212 0.03196988 0.643441 0.6992975 38.74972 4.236521 2.688664 1.312137
3.650596 -8.449658 -8.115095 -0.3218871 13.78268 -5.690872 18.52119 3.949246 8.523374 0.7638322 6.049286e-05 0.7205018 0.5899214 0.611974 0.9024913 0.5160219 0.3873249 0.9905077 0.1670266 0.6876385 0.6041624 0.2863583 36.73857 3.925112 2.395112 2.249335
0.9123563 -1.897574 0.6813443 2.663974 13.68325 -6.311369 11.6191 5.651707 5.294992 0.2856409 3.237669e-05 0.5583927 0.9491542 0.7955929 0.1363211 0.910561 0.0499891 0.3737536 0.09445167 0.6540612 0.1757497 0.5458958 43.55263 3.790957 3.001684 4.686216
4.091076 -4.148011 -1.139643 7.069381 5.375925 -3.437827 10.57263 4.431779 8.928728 0.9171284 6.025033e-05 0.6584749 0.8134795 0.6007565 0.6569009 0.2293618 0.1241796 0.5517314 0.9448415 0.2706054 0.06838482 0.1788227 40.04342 3.486029 3.033149 1.404739
2.294807 -4.86656 -6.754103 -0.5660051 -0.3378071 -3.832825 7.508584 5.058045 7.587434 0.3736166 9.867185e-05 0.4568229 0.7300579 0.1737477 0.8769356 0.5226362 0.4058712 0.8441989 0.03734191 0.6271517 0.2330864 0.699573 49.44682 3.844756 3.271581 1.787365
1.197261 -4.707481 -2.178175 11.15902 16.15897 -2.052446 10.61168 5.476675 5.907589 0.3470722 1.707853e-05 0.3412427 0.879982 0.6896596 0.999241 0.2298903 0.2931916 0.7024326 0.3894341 0.8754852 0.4532097 0.3691953 34.18457 4.629934 2.525625 2.46809
3.150467 -0.4954512 -3.392823 -3.773176 14.20912 -6.132549 18.52811 4.898921 7.48542 0.6222495 5.312683e-05 0.5429857 0.6925295 0.01400906 0.5851556 0.9117376 0.09556265 0.3619258 0.2320451 0.9927265 0.8103762 0.1240381 37.79011 1.365639 2.636625 3.976573
