"c[trans]" "c[com]" "c[circ]" "c[rep+]" "c[rep-]" "c[pack]" "com[max]" "rep[max]" "c[3A]" "c[stay]" "scaler" "var c[trans]" " var c[com]" "var c[circ]" "var c[rep+]" "var c[rep-]" "var c[pack]" "var com[max]" "var rep[max]" "var c[3A]" "var c[stay]" "var scaler" "ly gamma shape" "lag" "ly gamma rate" "lag var"
-4.082161 -3.572868 -5.423078 -8.942002 0.04153096 -4.55668 8.757164 17.226 7.417984 0.6410531 0.00106374 0.607768 0.2023861 0.6516501 0.002193737 0.2077277 0.749635 0.2723241 0.2363859 0.2537637 0.1145971 0.8649613 41.95903 4.47885 2.469364 12.58007
-4.25 -1.682022 -5.452695 -9.515607 0.430198 -1.139485 7.750446 11.12138 1.006934 0.4016123 0.000723121 0.4598004 0.2696277 0.690179 0.4273365 0.777773 0.1709418 0.2880695 0.06200633 0.4244776 0.4439836 0.8517731 36.26956 2.31637 2.638831 11.76141
-4.135123 -5.78873 -1.885373 -9.638188 2.244005 -4.949038 9.014968 9.51179 2.621841 0.6684561 0.0002642448 0.03949414 0.5115591 0.1970627 0.09126754 0.9101994 0.6040054 0.8055625 0.4473271 0.2219469 0.2899232 0.5748693 41.02473 4.915392 2.738561 14.99605
-4.397672 -3.418567 -5.334534 -9.731525 -0.104821 -1.726366 8.284768 7.782198 5.905103 0.8493395 3.709401e-05 0.3335439 0.8327757 0.1642836 0.4097986 0.4660866 0.7518881 0.3099211 0.8202839 0.4073362 0.3843871 0.7891775 38.93782 2.264374 2.543636 10.79757
-4.06672 -4.865483 -5.723 -8.892135 -0.1926324 -3.866849 5.814093 16.41935 2.840633 0.5364049 0.0006664105 0.6123824 0.2964363 0.9677643 0.5325897 0.5962738 0.2811703 0.3972039 0.8321204 0.4262511 0.124781 0.4837053 40.81005 6.305473 2.806616 5.074816
-4.30282 -1.057758 -5.840188 -9.995859 0.6985532 -5.454334 5.725931 8.722101 7.153925 0.6700739 0.0003068468 0.03770725 0.6706209 0.003672071 0.07044815 0.2131364 0.6268418 0.5331245 0.249686 0.6678172 0.7710591 0.9139871 37.04671 3.955767 2.530005 14.49069
-4.040804 -5.032119 -1.478124 -9.881862 0.08663617 -0.6042978 6.875137 15.28525 4.577141 0.6276999 0.001040564 0.08822363 0.2556018 0.5680689 0.5723046 0.3429792 0.9590557 0.6851097 0.2929737 0.7798598 0.425382 0.7175828 34.68783 3.824507 2.479468 8.700447
-4.132013 -3.809855 -5.064659 -8.415268 1.256316 -6.812982 9.327164 16.69918 2.96334 0.385864 0.0003312315 0.8569263 0.6789572 0.5828663 0.5194362 0.6119261 0.2506841 0.5484531 0.1652493 0.5167129 0.5045688 0.9365949 34.09465 2.573803 1.994842 0.9088979
-4.115435 -3.639429 -5.373325 -9.519767 1.000746 -0.9711285 6.461532 8.767718 4.968434 0.3615699 0.0004048079 0.4285238 0.4170226 0.4625729 0.3849636 0.06159332 0.1136862 0.7178624 0.3756622 0.5963281 0.2982077 0.9089333 33.38385 6.873533 2.108718 14.07193
-4.522595 -0.01672432 -5.885819 -8.095256 -0.1024637 -3.643784 8.284759 15.39896 1.584693 0.6136205 0.0002729131 0.4646765 0.1324359 0.9200199 0.5916969 0.3058505 0.03897273 0.6196896 0.3096864 0.4085416 0.3920365 0.4350561 35.55512 9.853269 2.236931 18.25133
-4.625643 -1.295748 -5.933517 -8.157333 1.333024 -9.246779 5.060783 9.512266 3.716499 0.8401939 0.0005142631 0.4547455 0.2277771 0.1075238 0.8888588 0.5687748 0.4454652 0.2760229 0.7761814 0.3349639 0.04807363 0.6117131 31.28849 1.336283 2.092578 9.7907
-3.980837 -5.319606 -1.484761 -9.258011 1.419713 -0.3132618 4.675261 6.792715 6.799918 0.3570425 0.000330559 0.3521348 0.3729592 0.6256639 0.08209904 0.6298264 0.5433667 0.3960704 0.060035 0.6851545 0.1445773 0.5808752 37.87516 0.8434535 2.377148 4.12735
-4.548063 -3.894399 -4.415797 -9.396158 0.137886 -3.963969 7.878909 14.13527 7.107709 0.3816856 0.0009268971 0.1033133 0.5889422 0.9748645 0.380187 0.6405633 0.09217547 0.3414242 0.1842664 0.242799 0.1997151 0.7301402 27.63201 5.79363 1.782862 12.86878
-4.377404 -4.34336 -3.029912 -8.530568 1.581648 -4.518261 7.996165 10.48987 5.466484 0.1814933 0.0004013686 0.5762254 0.2940882 0.2023227 0.6789908 0.7148304 0.7718648 0.6836473 0.4694071 0.7269263 0.6508909 0.9499037 39.49287 5.643431 2.829791 14.40017
-4.249301 -5.032075 -3.941806 -9.314521 2.394835 -4.399935 9.171885 15.9135 4.08265 0.7022898 0.0004268963 0.276906 0.1567873 0.1963747 0.7568534 0.4797261 0.993321 0.4598954 0.07291783 0.3141886 0.464391 0.7189294 39.74862 9.360748 2.694675 18.97781
-4.3384 -2.588357 -4.736734 -7.30379 0.1713215 -4.406948 5.767927 13.46969 3.593384 0.6701672 0.0005207317 0.4617479 0.06089669 0.3367028 0.7886385 0.5301379 0.1433004 0.6796907 0.246028 0.1244486 0.7887035 0.7776051 44.65579 6.679334 2.657989 13.66793
-4.18427 -5.310526 -2.628115 -8.512851 1.215562 -0.7848464 5.355732 15.12802 9.953102 0.6566838 0.0002669615 0.7405941 0.8219612 0.9341371 0.5831024 0.4156155 0.3631743 0.1997938 0.1413301 0.3697102 0.8613653 0.4849594 43.00609 7.859566 2.610954 4.122517
-4.288984 -2.710981 -5.740095 -9.203968 0.3241936 -1.48662 7.601286 10.64193 5.86591 0.1592371 0.0002707008 0.2492203 0.3088023 0.1708256 0.5581609 0.5971794 0.3844177 0.9033995 0.4705916 0.8316456 0.1630713 0.7458574 38.20808 1.798793 2.480445 14.6795
-3.939164 -0.8288955 -5.121199 -8.845012 0.8389603 -9.23249 5.187334 17.05501 9.111759 0.9393678 0.0003852519 0.6133081 0.9519173 0.63165 0.9929317 0.6160456 0.5698163 0.9950132 0.2235268 0.9051259 0.449075 0.8300378 39.45565 4.455141 2.484551 19.26376
-4.410934 -3.241278 -5.0829 -8.790554 0.3093304 -5.441047 5.445426 11.17469 8.718918 0.3866332 0.0001248777 0.1025499 0.8250798 0.3081584 0.4987875 0.5285753 0.6436419 0.6409631 0.7216222 0.6069196 0.4076865 0.990307 34.15422 3.746541 2.461027 9.591516
-4.230153 -5.4874 -3.970361 -8.522847 1.423068 -8.433048 4.13286 12.71163 2.569272 0.1375691 0.0004842558 0.2307451 0.1300042 0.7933212 0.4508271 0.7142363 0.5129967 0.3545334 0.3991538 0.177329 0.4839467 0.8904628 31.91442 5.464188 2.065363 11.36399
-4.019217 -2.275243 -5.693175 -8.038438 0.5694986 -4.273783 6.230741 15.34109 8.946623 0.5269585 6.527492e-05 0.6332874 0.6867857 0.1046866 0.5461873 0.6731538 0.570988 0.233712 0.7852837 0.5025008 0.6961991 0.74665 39.51448 3.329015 2.619397 10.56699
-4.387416 -2.651226 -5.561154 -9.964947 -0.05354711 -7.7951 5.551795 11.12463 8.351789 0.1655224 0.0003321089 0.4050578 0.4643497 0.1659097 0.6627451 0.05875131 0.4176333 0.7214205 0.9271258 0.7501146 0.4619155 0.7532141 35.01719 4.921181 2.310413 11.07581
-4.521539 -1.878481 -5.09591 -8.199974 1.144704 -2.616258 8.509023 13.23261 4.586457 0.5556912 7.87779e-05 0.4090095 0.5610916 0.4397947 0.2622604 0.9099908 0.2645988 0.3437123 0.7813289 0.7261458 0.6415105 0.8523363 32.895 3.489676 2.438254 10.10165
