"c[trans]" "c[com]" "c[circ]" "c[rep+]" "c[rep-]" "c[pack]" "com[max]" "rep[max]" "c[3A]" "c[stay]" "scaler" "var c[trans]" " var c[com]" "var c[circ]" "var c[rep+]" "var c[rep-]" "var c[pack]" "var com[max]" "var rep[max]" "var c[3A]" "var c[stay]" "var scaler" "ly gamma shape" "lag" "ly gamma rate" "lag var"
-4.334283 -5.322593 -0.7786289 -9.19921 0.1886879 -3.330861 8.664789 4.319346 2.534032 0.7673262 9.971774e-06 0.3763149 0.503367 0.1441568 0.5459274 0.6545146 0.4892346 0.2920897 0.6836303 0.09753613 0.6543 0.7331006 35.47436 8.32181 2.330502 8.878598
-4.758461 -5.074696 -3.499727 -9.607566 2.078888 -8.307581 7.386874 4.680426 5.756562 0.753855 0.000261299 0.1968917 0.230408 0.5526194 0.1588076 0.08388359 0.7598907 0.7729643 0.3519855 0.5852342 0.3100488 0.5562663 39.90688 4.824581 2.536167 15.17849
-4.881601 -4.929042 0.4574143 -9.52109 2.391341 -7.360517 7.481858 11.63439 8.571532 0.08127068 0.000655232 0.6616694 0.5994057 0.2193176 0.8226314 0.4605469 0.4745127 0.09641933 0.07564264 0.7724994 0.9482175 0.8365719 33.39474 3.641766 2.044551 13.98617
-4.572289 -3.100966 -4.600314 -9.702638 -0.02484995 -5.668403 7.157034 10.9858 3.469444 0.6095807 0.000354466 0.6010806 0.7863698 0.6695698 0.1536647 0.2423773 0.7995424 0.6225051 0.4419972 0.3342655 0.4019793 0.9720472 34.87765 3.224603 2.179791 14.271
-4.605187 -4.976539 -3.531232 -9.002737 0.70885 -6.11217 8.110204 10.8228 7.479848 0.9281208 0.0001520078 0.4599555 0.6356416 0.8264824 0.6924414 0.4408321 0.2169906 0.2249908 0.6406069 0.6712455 0.3455507 0.677391 35.88334 3.982116 2.351063 11.82462
-4.741917 -4.951827 -1.676629 -9.996101 1.921278 -5.726837 4.357834 9.148998 3.775752 0.6223048 0.000273782 0.4168601 0.5302156 0.9504757 0.7245866 0.4234812 0.3159331 0.910756 0.3659581 0.8470223 0.6486231 0.9176187 42.52159 5.779742 2.549958 12.06821
-4.650023 -1.938968 -1.994635 -9.610881 1.768383 -8.08834 6.612384 9.897573 3.262233 0.6895354 3.853078e-06 0.2953391 0.9121788 0.2727695 0.9153782 0.7508267 0.007641189 0.743681 0.5742231 0.7058091 0.9744868 0.9664967 43.7211 5.188816 2.383649 6.221265
-5.009515 -5.02815 -2.909066 -8.220601 0.8669602 -8.516283 7.779339 14.60017 4.364571 0.4836917 0.0005291277 0.7338752 0.6540816 0.9806505 0.1373604 0.8139206 0.9527422 0.5574454 0.6702367 0.3117133 0.1120843 0.9231509 40.10434 9.801015 2.553368 15.27713
-4.629101 -4.809783 -4.346731 -8.217208 0.7487909 -6.729692 8.370261 6.309728 8.215958 0.05363046 0.0004160583 0.8792812 0.6601601 0.678377 0.8935452 0.7570058 0.2634515 0.38168 0.9551496 0.9946882 0.7203233 0.7306293 42.52746 2.098298 2.490385 12.75892
-4.619654 -5.110704 -2.831003 -8.999817 1.818366 -8.398479 5.558438 15.7435 7.418958 0.2821957 7.25115e-05 0.0823834 0.6683478 0.1355575 0.6961814 0.9709071 0.5111623 0.2822785 0.9344924 0.4160901 0.6632233 0.5349172 41.59978 0.9742607 2.379707 6.1887
-4.690917 -5.110218 -2.121884 -9.626217 1.811165 -1.95544 8.119665 16.90587 1.82313 0.7543951 7.397385e-05 0.1573148 0.8041279 0.1788964 0.8294715 0.3096915 0.5206669 0.5882079 0.3064191 0.05871803 0.9535076 0.4934112 46.27991 4.400846 2.917534 7.66251
-4.957264 -3.877034 -4.071917 -8.992815 1.142695 -7.245607 9.58719 7.237768 5.623053 0.5797832 0.0003950388 0.9444033 0.1147944 0.08052777 0.1419814 0.1874441 0.06913427 0.9865936 0.8591485 0.5079497 0.358566 0.9031185 46.89187 9.417471 2.606035 14.57813
-4.762397 -4.545377 0.4068436 -9.85149 2.066033 -4.823223 7.016695 5.861084 2.701237 0.5064996 0.000791245 0.300013 0.8180085 0.9630274 0.7103395 0.5822945 0.533185 0.5856993 0.160435 0.2782229 0.7122716 0.6062299 43.59075 7.168869 2.270893 17.15361
-4.944173 -4.371617 -4.550805 -9.008027 1.400059 -2.558103 5.542857 11.31614 6.22208 0.7803502 0.0004651185 0.5004384 0.633766 0.06870849 0.2331924 0.1672314 0.2714425 0.6728895 0.5115792 0.8894676 0.2513697 0.9327787 38.73967 7.15645 2.240302 8.391398
-4.803602 -4.320904 -4.04527 -9.51588 2.041457 -1.184584 6.744545 8.103419 6.015249 0.4171661 0.000756205 0.8084113 0.2242509 0.9754203 0.5136611 0.131261 0.7126644 0.129398 0.4435086 0.3847238 0.162478 0.7097917 35.94062 7.763297 2.337818 9.881803
-4.622319 -4.731585 -3.419806 -9.483327 0.1846019 -1.320067 6.964847 6.863695 4.866394 0.07938867 0.001038641 0.456158 0.4461231 0.6271402 0.5819456 0.5807301 0.7117978 0.6875516 0.01014783 0.2682162 0.4042484 0.6815357 38.89013 5.069818 2.72965 13.56464
-4.548682 -5.272313 -2.592866 -9.892257 1.145105 -8.701903 5.422203 3.735511 7.33024 0.3290412 0.0006123844 0.4871761 0.1500785 0.07131496 0.4653648 0.5317488 0.7981576 0.5047899 0.1931733 0.1260475 0.4966532 0.478999 44.53934 6.978754 2.709846 13.53205
-4.977332 -5.139776 -3.968014 -9.508869 0.2335987 -8.68086 6.977034 16.93617 4.927935 0.6430306 0.0003044475 0.715977 0.47431 0.2551597 0.6021229 0.9836776 0.209174 0.2228351 0.0971924 0.7369322 0.5275277 0.6691268 42.47465 8.73779 2.381912 11.79798
-4.638542 -4.518075 -1.970116 -9.069422 1.493547 -3.75339 6.001086 7.45444 2.388502 0.0315035 0.000700324 0.3781848 0.02788086 0.2898653 0.3779667 0.6695691 0.7852765 0.5950346 0.9300076 0.9676001 0.354705 0.4192293 37.93877 6.008168 2.1928 11.93963
-4.831927 -4.873725 -3.011707 -9.423036 1.157094 -6.28009 6.611086 12.77162 2.450101 0.1434805 0.0003365119 0.9310508 0.7092841 0.403854 0.03684887 0.6150329 0.9949875 0.688377 0.9734913 0.8560085 0.1965921 0.9854249 44.25213 7.245067 2.640257 11.52606
