"c[trans]" "c[com]" "c[circ]" "c[rep+]" "c[rep-]" "c[pack]" "com[max]" "rep[max]" "c[3A]" "c[stay]" "scaler" "var c[trans]" " var c[com]" "var c[circ]" "var c[rep+]" "var c[rep-]" "var c[pack]" "var com[max]" "var rep[max]" "var c[3A]" "var c[stay]" "var scaler" "ly gamma shape" "lag" "ly gamma rate" "lag var"
-4.279829 -9.806591 0.3437334 -3.075255 2.113106 -7.465598 7.179434 13.72083 6.520138 0.4707915 4.107991e-05 0.2887212 0.2254902 0.9187764 0.7621521 0.389173 0.6387112 0.0106951 0.7562895 0.4441213 0.8593312 0.371351 18.18523 5.413598 2.707913 6.106178
-3.820422 -5.815751 -4.289991 -6.51543 2.442506 -9.663986 4.967012 12.02339 4.105318 0.7691353 8.308664e-05 0.5594321 0.6205891 0.01185049 0.3858324 0.6296206 0.3016491 0.3134615 0.6910359 0.3804161 0.5580311 0.4213093 36.60901 2.923071 3.522188 18.23949
-3.441196 -10.24184 -4.812092 -3.281802 1.833474 -4.064649 7.299232 12.71127 2.368104 0.8356571 1.024277e-05 0.2809627 0.6005338 0.5893502 0.5222541 0.507692 0.6861577 0.5855321 0.3166639 0.7654395 0.7433358 0.1850453 20.06266 3.910736 3.212561 6.706374
-4.704522 -7.232988 -7.207099 -5.279321 -0.1501654 -4.716389 4.502812 13.73431 5.994982 0.2000753 0.0001547697 0.9946121 0.5317938 0.2924848 0.8565902 0.3708511 0.09953519 0.5093595 0.4009562 0.6614441 0.6689665 0.652712 10.94656 0.5015201 1.866243 8.075349
-4.896994 -6.290248 -9.707117 -1.768234 0.5343498 -8.914681 5.494009 14.08514 8.431002 0.8598265 6.450869e-05 0.5603597 0.5791547 0.3994316 0.356582 0.4723943 0.5996652 0.3192404 0.1038628 0.09177109 0.8832889 0.4154791 12.63429 1.544258 1.86288 10.14625
-4.802848 -9.381929 -7.05021 -3.768118 1.197077 -6.127462 7.934947 6.681471 6.092705 0.009871737 3.580878e-05 0.8163563 0.2227602 0.2516879 0.8939305 0.942043 0.5883595 0.5369915 0.5510567 0.5009383 0.3542217 0.3152052 24.05807 1.52896 2.120531 15.80381
-3.255876 -8.79154 -3.311089 -6.355527 1.311707 -6.97352 9.731009 6.422229 8.630103 0.9332275 7.142803e-05 0.02875958 0.8148402 0.1341108 0.1230491 0.5936259 0.7456761 0.7817236 0.5990789 0.4134368 0.8435121 0.372949 19.53007 5.300776 1.053304 13.98962
-4.359718 -5.749409 -7.686728 -8.059582 1.178269 -8.740065 6.510729 12.28334 9.169448 0.6123219 5.971912e-05 0.1690383 0.7619455 0.3265006 0.2354888 0.1830435 0.5533722 0.6093368 0.6400072 0.4433421 0.3391529 0.5038002 16.3271 2.666142 3.694324 13.36198
-5.311709 -1.783704 -6.923135 -9.855901 0.6572227 -5.233868 9.089761 16.79232 4.121202 0.6058997 7.573377e-05 0.4744898 0.9808818 0.5058942 0.3498943 0.7947615 0.6044765 0.5251797 0.7196765 0.5922038 0.3170801 0.4577594 24.65081 7.283931 2.040124 15.64173
-4.049107 -4.605837 -6.627656 -8.809651 -0.2210888 -5.172178 7.58355 6.67655 6.514724 0.8883827 8.152237e-05 0.4583673 0.4284727 0.1334617 0.1483264 0.9451407 0.2877208 0.3433257 0.2446234 0.1692218 0.9820278 0.4055186 40.66533 1.125202 3.62496 12.35337
-2.447103 -6.897618 -5.928465 -7.937065 0.6691667 -7.508421 5.195662 6.154585 7.510321 0.2696994 2.916467e-05 0.2407617 0.7718447 0.4437357 0.03901442 0.5157151 0.5105579 0.6493916 0.2614502 0.1948183 0.7063672 0.1250775 19.76857 3.505669 2.963235 2.829197
-4.999121 -9.06544 -4.940002 -3.251205 1.889451 -6.160994 8.294892 8.793976 5.604951 0.08657323 4.404126e-06 0.06532299 0.212122 0.2742942 0.4759703 0.6823139 0.5794326 0.7347914 0.9624577 0.01296412 0.1012173 0.5463054 25.99419 4.631535 3.762438 13.3019
-5.74515 -12.79932 -2.227429 -0.3440788 0.09482416 -3.993425 6.020406 12.63685 1.832232 0.1422523 0.0001752634 0.1411129 0.3827503 0.4349773 0.2273211 0.6324549 0.9885949 0.1135266 0.5985782 0.2826387 0.8908857 0.7593885 38.78664 4.586577 4.303188 15.90145
-3.275892 -8.793734 -9.858617 -3.78015 1.151588 -7.664048 4.946095 12.98207 7.270627 0.7002661 1.279691e-05 0.9164143 0.7648415 0.2406772 0.6837787 0.7834784 0.6902551 0.2957884 0.6777012 0.7944835 0.8044445 0.1493063 24.42354 0.3376504 4.570713 8.842091
-5.210928 -5.065059 -5.067595 -6.871235 2.495088 -7.73014 8.223545 9.394618 7.149608 0.6394151 0.0002484925 0.7325466 0.4045772 0.1987913 0.710547 0.9386699 0.1856198 0.9549488 0.7651286 0.3967738 0.01298164 0.7023277 24.94596 2.399386 2.34684 15.41479
-2.956613 -3.009418 -6.561552 -7.912674 2.372908 -8.175177 9.621353 15.37448 6.084063 0.5308488 7.198019e-05 0.3191137 0.5745653 0.5541699 0.1620965 0.7908314 0.0755732 0.957746 0.5899759 0.6199602 0.5701509 0.2929686 8.484687 8.017052 0.830006 13.53432
-4.788921 -6.67235 -8.952828 -6.650609 1.219265 -6.055529 5.565199 9.254993 6.14203 0.8619231 0.0001244287 0.94629 0.967539 0.1822991 0.4864183 0.4318161 0.3219941 0.3745502 0.08097891 0.2834821 0.8712388 0.5884648 34.4038 4.732546 3.756528 7.257899
-3.828005 -4.237742 -8.351496 -7.264062 1.646487 -5.715058 5.876883 13.01587 9.747589 0.02426927 0.0001593546 0.7185083 0.3597814 0.8255373 0.7327215 0.9341454 0.3735542 0.2023444 0.5011852 0.08980734 0.7968667 0.6185128 14.75244 1.400069 1.204014 10.08307
-4.793265 -5.43846 -6.592192 -9.602265 -0.007950195 -7.042039 4.203372 9.388422 9.778439 0.8135171 7.120497e-06 0.7052146 0.3908023 0.08460484 0.5315168 0.7768207 0.3764584 0.2874074 0.2924823 0.2055273 0.913462 0.5904282 38.03815 8.564556 2.326201 5.242307
-3.987743 -7.446005 -0.1861927 -5.364964 -0.04979662 -4.194234 6.703502 13.57712 1.633784 0.0897735 8.158398e-05 0.9268531 0.9720877 0.424936 0.1723684 0.4507591 0.491934 0.5994456 0.3038721 0.9467289 0.5846227 0.866305 1.092718 4.962271 0.9417052 5.016573
-2.141594 -8.095149 -6.810604 -6.990759 2.044701 -4.878239 6.455132 16.00691 4.701023 0.3533506 3.58545e-06 0.5388232 0.7353458 0.06099067 0.5648006 0.9145338 0.5544335 0.3222113 0.8345375 0.5758497 0.1172084 0.1560654 9.283328 1.535899 2.169361 11.99554
-4.882642 -8.652097 -5.187944 -5.159096 0.283874 -3.2212 5.256277 10.84618 5.408427 0.1974473 0.0001106997 0.7144443 0.59015 0.1848317 0.1208114 0.1885265 0.1311541 0.6497544 0.6446111 0.4166195 0.1634782 0.3710012 34.13652 5.863663 1.981751 8.223152
-5.221364 -7.09694 -7.319472 -7.735242 0.7384376 -8.735938 6.198035 12.93365 6.966059 0.2010635 4.026941e-05 0.8253559 0.610056 0.6906876 0.9002515 0.4973971 0.5945729 0.1856284 0.8626032 0.9218021 0.2841958 0.7765529 13.67487 1.982838 3.100262 5.622678
-3.297728 -4.925562 -3.85934 -8.485994 2.102993 -5.930461 5.567921 9.899412 4.381879 0.8536147 3.961752e-05 0.7639586 0.7824758 0.1448049 0.2103773 0.7506888 0.8407729 0.333836 0.9626281 0.6673161 0.2748147 0.4611234 29.21931 6.398735 2.454751 1.537857
-4.271013 -7.536137 -3.591267 -9.517619 0.00282682 -6.028538 8.828632 17.05472 5.471229 0.05709108 5.44346e-05 0.7522567 0.9055434 0.0684057 0.1107991 0.7518558 0.7335766 0.8460237 0.4750846 0.5551425 0.8345662 0.3921764 32.36532 2.869232 4.349695 1.466116
-4.852751 -8.6493 -10.12215 -0.9033379 2.052427 -1.09805 8.955635 9.23439 1.885011 0.4941584 2.641438e-05 0.1924591 0.4505104 0.1372725 0.3456582 0.5480848 0.5518117 0.3945484 0.6010963 0.7369309 0.8543918 0.5289919 3.443539 1.263759 0.9348827 14.91811
-4.837341 -7.198811 -3.220104 -6.312473 0.1304414 -5.587816 5.499406 10.04477 2.355153 0.2965818 2.756933e-06 0.3765164 0.7544486 0.2093075 0.2965371 0.8660778 0.6984809 0.1897712 0.7626201 0.6586246 0.8594688 0.4306639 20.91171 2.1982 3.109591 7.866843
-5.172683 -9.4668 -9.952465 -3.315268 2.423629 -3.867115 6.590728 9.728997 7.008774 0.5806752 9.124162e-05 0.7002832 0.3576484 0.9628509 0.5210182 0.2127979 0.6076085 0.2831833 0.5833459 0.2371206 0.4536601 0.6468588 14.78026 4.269686 1.189725 17.80956
-3.359294 -5.827782 -5.429044 -9.677565 0.3096774 -5.33408 5.60986 11.05063 3.086175 0.7536904 8.874191e-07 0.8226979 0.6171498 0.6349002 0.2204274 0.4828144 0.6606947 0.7297334 0.2975951 0.3388455 0.4365564 0.2186581 30.16962 4.064864 2.605467 7.876291
-3.137271 -2.424094 -2.317623 -8.479968 1.213037 -0.09665488 7.050142 6.871598 2.040202 0.4404291 0.000122465 0.8356786 0.4286585 0.499168 0.336476 0.3617255 0.186083 0.001451163 0.2415899 0.5525889 0.2666996 0.1783932 36.71661 1.180322 3.216911 8.548131
-5.448969 -8.340421 -7.058883 -5.786986 1.691592 -2.426598 5.746368 16.06755 6.034035 0.5680494 0.0001327863 0.6486317 0.73664 0.3517168 0.4927907 0.4086018 0.352938 0.5254438 0.4591259 0.7333464 0.7618305 0.5112023 22.53536 4.684226 3.882646 5.850575
-5.553868 -3.329452 -4.760078 -9.229462 1.624647 -6.965413 5.701427 11.07185 1.672852 0.3104483 0.0001014788 0.9550339 0.5805992 0.830581 0.4246233 0.6017409 0.681937 0.7137093 0.3229002 0.489457 0.7999693 0.4132161 7.485514 5.349766 1.141377 10.21244
-5.535374 -9.057678 -4.997947 -8.590583 1.218812 -4.528645 5.306852 9.393326 4.012979 0.2589011 0.0001100651 0.6863109 0.3097779 0.06752524 0.4004635 0.1557624 0.8473262 0.6484213 0.7042998 0.7020359 0.3312242 0.8477284 35.60338 1.962933 3.456275 7.223786
